id,distrito,provincia,poblacion
1234,San Carlos,Mendoza,39869
1402,Ramallo,Buenos Aires,39730
1212,Lácar,Neuquén,39596
1067,Pinamar,Buenos Aires,39449
1340,Salto,Buenos Aires,39425
1110,Esquina,Corrientes,39185
1419,Ituzaingó,Corrientes,38837
1088,Montecarlo,Misiones,38669
1481,Rivadavia,Salta,38113
1268,Almirante Brown,Chaco,37851
1173,Presidente Roque Sáenz Peña,Córdoba,37726
1467,Patagones,Buenos Aires,37646
1376,Bolívar,Buenos Aires,37594
1066,Villa Gesell,Buenos Aires,37463
1491,Simoca,Tucumán,36973
1161,General Roca,Córdoba,36242
1453,Ischilín,Córdoba,36074
1127,San Antonio,Río Negro,35800
1225,Copo,Santiago del Estero,35741
1049,Saladillo,Buenos Aires,35656
1322,25 de Mayo,Buenos Aires,35563
1465,Candelaria,Misiones,35318
1156,General Villegas,Buenos Aires,35251
1129,San Pedro,Misiones,34801
1489,Juan Bautista Alberdi,Tucumán,34766
1377,Chacabuco,Chaco,34598
1305,Valle Viejo,Catamarca,34029
1269,Rosario de la Frontera,Salta,33809
1169,San Javier,Santa Fe,33274
1065,Mar Chiquita,Buenos Aires,33110
1530,25 de Mayo,Chaco,32793
1153,Villarino,Buenos Aires,32717
1235,Malargüe,Mendoza,32717
1209,Quitilipi,Chaco,32642
1310,Brandsen,Buenos Aires,32448
1333,Arrecifes,Buenos Aires,32215
1389,Dolores,Buenos Aires,32032
1298,Tala,Entre Ríos,31309
1547,Albardón,San Juan,31284
1146,9 de Julio,Santa Fe,30995
1496,25 de Mayo,Misiones,30891
1303,Belén,Catamarca,30569
1274,9 de Julio,Chaco,30258
1228,Pehuenches,Neuquén,29753
1042,Federal,Entre Ríos,29667
1519,Saladas,Corrientes,29198
1231,Cushamen,Chubut,28209
1461,Bermejo,Chaco,28144
1358,Colón,Buenos Aires,27504
1050,Las Flores,Buenos Aires,27239
1538,Sarmiento,San Juan,27188
1279,Santa María,Catamarca,26929
1054,San Antonio de Areco,Buenos Aires,26897
1070,Magdalena,Buenos Aires,26613
1037,Chacabuco,San Luis,26557
1311,San Andrés de Giles,Buenos Aires,26510
1216,Maipú,Chaco,26416
1271,La Paz,Catamarca,26370
1516,Concepción,Corrientes,26282
1405,Pellegrini,Santiago del Estero,26193
1198,Yavi,Jujuy,25868
1051,Rojas,Buenos Aires,25627
1264,Lago Argentino,Santa Cruz,25586
1406,Avellaneda,Santiago del Estero,25476
1409,Tinogasta,Catamarca,25395
1541,Jáchal,San Juan,25297
1500,Garay,Santa Fe,24927
1327,Monte,Buenos Aires,24868
1094,Chicoana,Salta,24729
1107,Coronel Pringles,Buenos Aires,24420
1284,Loreto,Santiago del Estero,24060
1034,Ayacucho,San Luis,23913
1505,San Javier,Misiones,23503
1384,Trancas,Tucumán,23494
1089,12 de Octubre,Chaco,23222
1314,Carlos Casares,Buenos Aires,23100
1514,San Roque,Corrientes,22715
1281,General Viamonte,Buenos Aires,22649
1083,General Juan Madariaga,Buenos Aires,22624
1454,Totoral,Córdoba,22495
1385,Tafí del Valle,Tucumán,22440
1396,Saavedra,Buenos Aires,22347
1357,Benito Juárez,Buenos Aires,22292
1154,Independencia,Chaco,21996
1351,Ayacucho,Buenos Aires,21977
1056,O'Higgins,Chaco,21579
1445,San Luis del Palmar,Corrientes,21459
1487,La Cocha,Tucumán,21218
1181,Huiliches,Neuquén,20973
1484,Humahuaca,Jujuy,20914
1293,San Salvador,Entre Ríos,20854
1537,25 de Mayo,San Juan,20824
1326,General Belgrano,Buenos Aires,20791
1085,Juan Felipe Ibarra,Santiago del Estero,20589
1552,Santa Bárbara,Jujuy,20499
1395,Figueroa,Santiago del Estero,20270
1084,Alberdi,Santiago del Estero,20104
1365,Navarro,Buenos Aires,19899
1392,Capayán,Catamarca,19885
1466,Rivadavia,Buenos Aires,19849
1446,San Cosme,Corrientes,19706
1393,Andalgalá,Catamarca,19678
1100,Santa Rosa,Mendoza,19382
1141,Laishi,Formosa,19303
1140,Pilagás,Formosa,19116
1187,Sargento Cabral,Chaco,18793
1475,Jiménez,Santiago del Estero,18625
1391,Daireaux,Buenos Aires,18422
1230,Chos Malal,Neuquén,18368
1398,Lobería,Buenos Aires,18243
1158,Añelo,Neuquén,18166
1504,Toay,La Pampa,18029
1319,General Las Heras,Buenos Aires,18022
1440,Empedrado,Corrientes,17968
1304,Cafayate,Salta,17829
1508,Utracán,La Pampa,17802
1338,Ramón Lista,Formosa,17729
1152,Adolfo Alsina,Buenos Aires,17552
1339,Carmen de Areco,Buenos Aires,17499
1215,Realicó,La Pampa,17470
1457,Leandro N. Alem,Buenos Aires,17266
1190,Matacos,Formosa,17032
1506,General Paz,Corrientes,17020
1302,Feliciano,Entre Ríos,16803
1149,25 de Mayo,Río Negro,16718
1096,Rauch,Buenos Aires,16635
1172,Puán,Buenos Aires,16613
